0:0:0:0:0:0:0:1 - - [04/Jun/2016:16:52:20 +0800] "GET /api/users HTTP/1.1" 401 344
0:0:0:0:0:0:0:1 - - [04/Jun/2016:16:52:24 +0800] "GET /api/movie/ HTTP/1.1" 200 12977
0:0:0:0:0:0:0:1 - - [04/Jun/2016:16:52:35 +0800] "GET /api/movie/?type=%E7%88%B1%E6%83%85 HTTP/1.1" 200 3814
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:19:28 +0800] "GET /api/cinema HTTP/1.1" 200 26619
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:20:00 +0800] "GET /api/cinema?qu=%E7%99%BD%E4%BA%91 HTTP/1.1" 200 4334
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:20:08 +0800] "GET /api/cinema?qu=%E5%A4%A9%E6%B2%B3 HTTP/1.1" 200 4987
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
0:0:0:0:0:0:0:1 - - [04/Jun/2016:17:22:43 +0800] "GET /api/cinema HTTP/1.0" 200 26583
